indicator,indicator_family,required
Emissions|Kyoto gases|Fossil CO2|Electricity|Coal|Hard Coal|Boilers,emission_supply,False
Efficiency|Electricity|Coal|Hard Coal|Steam turbines,efficiency_supply,False
Investments|Electricity|Coal|Hard Coal|Steam turbine based plants,investment_supply,False
Generation|Winter peak|Electricity|Coal|Hard Coal|Steam turbines,winter_peak_hourly_generation,False
Hourly prices|Electricity|Winter peak,prc_elec,True
Hourly power consumption|Winter peak|Electricity|Heating|Water heating,winter_peak_hourly_consumption,False
Hourly power consumption|Summer peak|Electricity|Heating|Water heating,summer_peak_hourly_consumption,False
Generation|Summer peak|Electricity|Coal|Hard Coal|Steam turbines,summer_peak_hourly_generation,False
Hourly power consumption|Percentile 25|Electricity|Heating|Water heating,percentile25_hourly_consumption,False
Generation|Percentile 25|Electricity|Coal|Hard Coal|Steam turbines,Percentile25_hourly_generation,False
Hourly power consumption|Percentile 50|Electricity|Heating|Water heating,percentile50_hourly_consumption,False
Generation|Percentile 50|Electricity|Coal|Hard Coal|Steam turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Space heating|Residential|Coal|Hard Coal,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Heating|Low enthalpy heat|Coal|Hard Coal| ,fuel_eff_emi_heavy_ind,False
Final energy consumption|Light Industries|Coal|Hard Coal,fuel_eff_emi_light_ind,False
Final energy consumption|Agriculture|Coal|Hard Coal,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Liquids|Fossil|Others|PC0,fuel_eff_emi_road,False
Final energy consumption|Transportation|Rail|Passenger|Liquids|Fossil|Others,fuel_eff_emi_rail,False
Final energy consumption|Transportation|Navigation|Passenger|Liquids|Fossil|Others,fuel_eff_emi_nav,False
Final energy consumption|Transportation|Aviation|Passenger|Liquids|Fossil|Methanol,fuel_eff_emi_fly,False
Socio-economic|Economic|Value_add|Heavy Industries,Other_inputs,False
Installed capacity|Electricity|Coal|Hard Coal|Anthracite|Steam turbines ,installed_capacity_supply,False
Generation|Yearly|Electricity|Coal|Hard Coal|Anthracite|Steam turbines ,yearly_generation_supply,False
Fuel consumption|Electricity|Coal|Hard Coal|Anthracite|Boilers ,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Coal|Hard Coal|Anthracite|Boilers ,emission_supply,False
Efficiency|Electricity|Coal|Hard Coal|Anthracite|Steam turbines ,efficiency_supply,False
Investments|Electricity|Coal|Hard Coal|Anthracite|Steam turbine based plants ,investment_supply,False
Generation|Winter peak|Electricity|Coal|Hard Coal|Anthracite|Steam turbines ,winter_peak_hourly_generation,False
Hourly power consumption|Winter peak|Electricity|Heating|Water heating|Residential,winter_peak_hourly_consumption,False
Hourly power consumption|Summer peak|Electricity|Heating|Water heating|Residential,summer_peak_hourly_consumption,False
Generation|Summer peak|Electricity|Coal|Hard Coal|Anthracite|Steam turbines ,summer_peak_hourly_generation,False
Hourly power consumption|Percentile 25|Electricity|Heating|Water heating|Residential,percentile25_hourly_consumption,False
Generation|Percentile 25|Electricity|Coal|Hard Coal|Anthracite|Steam turbines ,Percentile25_hourly_generation,False
Hourly power consumption|Percentile 50|Electricity|Heating|Water heating|Residential,percentile50_hourly_consumption,False
Generation|Percentile 50|Electricity|Coal|Hard Coal|Anthracite|Steam turbines ,Percentile50_hourly_generation,False
Final energy consumption|Heating|Space heating|Residential|Coal|Hard Coal|Anthracite ,fuel_eff_emi_heating,False
Final energy consumption|Cooling|Space cooling|Heat Pumps|Residential,elec_eff_cooling,False
Final energy consumption|Heavy industries|Steel and metallic|Heating|Low enthalpy heat|Coal|Hard Coal|Anthracite ,fuel_eff_emi_heavy_ind,False
Final energy consumption|Light Industries|Coal|Hard Coal|Anthracite ,fuel_eff_emi_light_ind,False
Final energy consumption|Agriculture|Coal|Hard Coal|Anthracite ,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Aviation|Passenger|Liquids|Fossil|Others,fuel_eff_emi_fly,False
Socio-economic|Economic|Value_add|Light Industries,Other_inputs,False
Installed capacity|Electricity|Coal|Hard Coal|Coking coal|Steam turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Coal|Hard Coal|Coking coal|Steam turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Coal|Hard Coal|Coking coal|Boilers,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Coal|Hard Coal|Coking coal|Boilers,emission_supply,False
Efficiency|Electricity|Coal|Hard Coal|Coking coal|Steam turbines,efficiency_supply,False
Investments|Electricity|Coal|Hard Coal|Coking coal|Steam turbine based plants,investment_supply,False
Generation|Winter peak|Electricity|Coal|Hard Coal|Coking coal|Steam turbines,winter_peak_hourly_generation,False
Hourly prices|Electricity|Percentile 25,prc_elec,True
Hourly power consumption|Winter peak|Electricity|Heating|Water heating|Services,winter_peak_hourly_consumption,False
Hourly power consumption|Summer peak|Electricity|Heating|Water heating|Services,summer_peak_hourly_consumption,False
Generation|Summer peak|Electricity|Coal|Hard Coal|Coking coal|Steam turbines,summer_peak_hourly_generation,False
Hourly power consumption|Percentile 25|Electricity|Heating|Water heating|Services,percentile25_hourly_consumption,False
Generation|Percentile 25|Electricity|Coal|Hard Coal|Coking coal|Steam turbines,Percentile25_hourly_generation,False
Hourly power consumption|Percentile 50|Electricity|Heating|Water heating|Services,percentile50_hourly_consumption,False
